Comment,Location,UserId,Compound,Negative,Neutral,Positive,PublishedDate
you get a like for your purchase there at the end,DE,nunya biz,0.3612,0.0,78.3,21.7,2017-10-14 07:27:04
GEIL!,GB,Rofl Kahn,0.0,0.0,100.0,0.0,2017-09-17 22:46:26
Or Tell them just leave it somewhere,US,DarklingGolem50,-0.0516,16.7,83.3,0.0,2017-09-13 19:48:57
Very clear and helpful. Thank you Techmoan.\nI just wish that you'd have mentioned both how popular they are and quickly they fill up.,DE,beingsshepherd,0.9179,0.0,56.3,43.7,2017-09-07 00:50:16
this makes fraud through amazon so easy?,GB,sam n\xf6,0.1633,28.7,30.2,41.1,2017-08-19 13:14:39
"Well I didn't have any boxes so I just put my item in a shoebox to return it but the locker I got was too small, sooo I kinda had to squish the box and shove it in there, but it was still taped close and probably had the return sheet intact! I'm sure they can figure it out.. lol",MX,flanboy,0.8655,0.0,82.69999999999997,17.299999999999994,2017-08-11 22:30:45
"Postamt Langen ist Korrupt und Bestechlich:\n\n1- Ulrich Klein, Gruppenf\xfchrer\n2- Michael Petermann, Stellvertreter\n3- Marko M\xfcller, Assistent.",GB,\u062d\u0643\u0648\u0645\u0629 \u0623\u0642\u0628\u0627\u0637 \u0627\u0644\u0645\u0647\u062c\u0631 \u0641\u0627\u064a\u0632 \u0646\u062c\u064a\u0628 \u062a\u0631\u064a\u0627\u0642,0.0,0.0,100.0,0.0,2017-07-13 05:10:22
isnt the locker free when i spend over 20 pounds?,US,hi there,-0.4023,25.2,74.8,0.0,2017-07-10 18:26:16
I wish we had Pimms in cans in the US.,MX,Christian Tarr,0.4019,0.0,74.8,25.2,2017-06-22 00:37:34
Letting kids buy gift cards and buy underaged items easily,DK,DerpiestNoob,0.6486,0.0,60.2,39.8,2017-06-14 23:04:18
"This is a wonderful idea. Too bad they aren't everywhere yet. My area recently got prime now, a sort center facility (I got a job there), and I recently found job posting for a mall pop-up store. I'm hoping that means lockers are coming soon. I read that they already have lockers in the other major city in my state that also got a new warehouse last year. So my fingers are crossed that this experience comes near me soon!\n\nAlso there are rumors that Amazon is looking to tap into gas stations. I could see them partnering with a company like BP and having a pop-up/locker set up along with regular convenient store offerings. With the many BP gas stations in the US they could certainly have a major physical stretch throughout the US.",GB,Leo Theo,0.8356,2.6,87.4,10.0,2017-06-14 15:19:53
Awesome )O_-( WooW GOOD VIDEO ;) Crack,MX,All Music Free Music without copyright,0.8636,0.0,29.3,70.7,2017-05-13 11:07:34
I just tried this out for myself today on a return.  Much faster than waiting in line at ups.  :),GB,David's Focus,0.4588,0.0,85.0,15.0,2017-05-05 20:03:07
Ha ha Russian Standard Vodka,MX,Ourwonderfulworld 82,0.5859,0.0,38.5,61.5,2017-05-01 10:48:21
i like your accent. it reminds me of my trip to Australia. what a beautiful country...,SE,Wang Zihao,0.7506,0.0,65.2,34.8,2017-04-25 07:11:04
I assume you were around mostly British people in Australia then.,GB,Eluziv3,0.0,0.0,100.0,0.0,2017-10-02 20:32:13
Good Video,GB,Free Music Downloader - All Music,0.4404,0.0,25.6,74.4,2017-04-24 10:45:37
I find the PassMyParcel service is far better. Today when I used Amazon Locked I have 2 orders and was given two codes. The 2nd coda failed.I then wondered if it was possible that both orders were in the same locker. The only way I could test this was to open my parcels in the shopping centre and yes I did have every thing but a bed experience and I won't use it again.,UK,Robert Fletcher,0.4854,0.0,92.4,7.6,2017-03-26 00:00:58
"I don't know how long we've had it in the states, but I discovered it last year. I got a ""new"" Logitech Bluetooth keyboard, but it didn't contain a unifying receiver. So, I dreaded doing it, but I decided to send it back, even though getting a receiver would cost $10. \n\nI noticed one of the shipping options was an Amazon locker. And there happened to be one close to me, in the mall downtown in Indianapolis. So I chose this option, drove down to the mall after 8pm (free street parking) and set off to try and find the thing. \n\nIt said it was in the Carson Pirie Scott, which is fine, except that it's the biggest store in the mall, at 3-4 floors.  It wound up being on the 3rd floor behind the boys section, in a room. I looked, but there was no sign saying, ""Beware of the Leopard"" outside that room.\n\nI walked up, I scanned my package (with a new return label on the outside) and it opened a door for me to put it in. But it was too small. They had thought of this, and I pushed a button, closed the door, and a bigger door opened and I fit my package in.  All in all, a neat experience. But if it is out of the way, even like this (I don't do malls, really) it's almost too much of a hassle. \n\nLooking now, and Amazon now has 8 places in the Indianapolis area, one is pretty close to where I work.  NOW I would definitely use it again.",US,William Eby,0.9222,3.5000000000000004,87.2,9.3,2017-03-25 03:20:41
Who is here in 2017?,UK,P Tr,0.0,0.0,100.0,0.0,2017-03-12 18:15:26
"Just ordered from Amazon and have selected The Locker option. Think im more excited about using the Locker than the item ive ordered, lol.",MX,Dash Cam Das,0.7346,0.0,74.5,25.5,2017-01-26 23:27:35
Same here lol \U0001f605,DK,Rachael,0.4215,0.0,51.7,48.3,2018-10-29 22:07:14
Hahahaha,DE,MegaAgente17,0.0,0.0,100.0,0.0,2017-12-07 08:08:38
Nice video. Thank you.,US,JLA The Tub And,0.6486,0.0,27.4,72.6,2016-12-26 15:00:54
The Amazon Locker near my house is named Gaia.,DE,Zack Schmiesing,0.1779,0.0,82.5,17.5,2016-12-15 05:44:13
Zack Schmiesing chese,MX,Mike skillings,0.0,0.0,100.0,0.0,2017-01-29 16:30:26
"Yeah, it's nice until the fucking thing is broken. Ordering from Amazon will always be a hassle until they finally give us a damn warehouse to pick our shit up from.",DE,Wacko Bird,-0.6077,24.5,58.4,17.0,2016-12-07 07:52:12
Amazon locker sucks!UPS won't deliver my package \U0001f4e6. It fails every time!,DE,Michael Ennis,-0.3987,22.4,66.3,11.3,2016-12-06 16:45:50
I'm afraid people might follow me to my car.,GB,Native2458,0.0,0.0,100.0,0.0,2016-12-03 21:44:18
"If your in the States have a gun in your car or bring a switch blade, hope for the best everyday but prepare for the worst",UK,00 9X,-0.5859,23.0,62.7,14.3,2019-03-05 04:17:49
"@Aurelius R Are you serious????? FUCK the groceries SNOWFLAKE! Its about ridding the World of a asshole!!!! I'm a white guy ,no record....I'll be hailed as a HERO dufuss! what planet do YOU live on! :(",MX,James Darr,-0.7374,25.6,60.4,13.900000000000002,2019-03-01 06:05:16
@James Darr lol. wait until you end up in jail for life for murder. I bet defending that $20 of groceries was totally worth killing someone,US,Aurelius R,-0.7495,26.5,59.4,14.099999999999998,2019-03-01 06:01:30
@James Darr - I was gonna tell him to get a gun too but I see the conversation went sour lol\n@James Ulibarri - Nothing morally wrong with carrying a gun. Just use it responsibly.,US,Attack Helicopter,-0.1202,14.499999999999998,75.5,10.1,2019-01-20 03:04:59
@James Ulibarri Stupid is as stupid does.....I NEVER get robbed or F-ed with in ANY way.....I Guess that's stupid??????? Oh well.....,SE,James Darr,-0.8299,29.0,71.0,0.0,2018-12-28 22:43:35
"@James Darr I don't carry a gun, stupid.  Speak for yourself.",UK,James Ulibarri,0.5875,0.0,59.3,40.7,2018-12-28 21:22:41
"LOL! Then do like we Americans do! Carry a gun,and blow their head off if they cause any problems! Why live in ridiculous fear?????",US,James Darr,0.5674,16.2,59.2,24.5,2018-12-24 19:43:13
"Are you afraid when you buy stuff from the regular store too, and sleeping with the lights out at night?  Lame.",US,James Ulibarri,-0.4215,12.3,87.7,0.0,2018-10-30 05:31:06
Australia post has Parcel lockers as well,US,tim gladman,0.2732,0.0,74.1,25.9,2016-11-26 00:51:10
Amazon saves the day!,GB,V8 Addiction,0.2481,0.0,60.1,39.90000000000001,2016-11-20 19:46:28
"in germany we have these similar lockers set up called ""packstation"" and they work with any onlineshop.",US,Andrzej Duda,0.0,0.0,100.0,0.0,2016-11-18 22:22:23
in germany we also have amazon locker you dumbass bitch,GB,sam n\xf6,-0.7717,46.0,43.5,10.6,2017-08-19 13:15:22
Only if they are sending with DHL.,DK,Nom Nom,0.0,0.0,100.0,0.0,2017-07-16 21:35:03
"I don't know how it is now in 2016, but here in Finland we have those locker things, and they work with almost whatever website you bought your shit from, at least the more popular ones.",DE,MP-Fin,-0.1927,11.7,78.5,9.8,2016-11-16 17:54:10
Great way to get your stolen goods sent to a locker box,US,Captain Howdy,0.2263,19.6,55.2,25.2,2016-10-27 13:10:26
Sounds like James May,DE,Dx Fire,0.3612,0.0,54.50000000000001,45.5,2016-10-27 07:42:57
Dx FireL..lol. ..I love James May On Top Gear!!,SE,HoneyJazz29,0.3786,24.1,36.2,39.7,2016-11-19 22:14:44
I just found out about amazon locker as Oct 2016. And  I have been an occasion amazon buyer since 2004. lol,SE,Song,0.6369,0.0,72.1,27.9,2016-10-04 06:06:33
Use Wayback Machine,UK,Shawn D,0.0,0.0,100.0,0.0,2017-10-25 00:27:36
I was curious and recently looked at my order history and found that I ordered The Eminem Show in 2003 from Amazon...wonder what the website looked like then.,GB,Nans Florent,0.5859,0.0,83.3,16.7,2017-10-23 22:17:05
Song Li there was amazon in 2004? lol,MX,Skynet Cyborg,0.5423,0.0,57.1,42.9,2017-10-18 19:03:14
Andr\xe9s Mm mkdmsmdmsew,MX,Mike skillings,0.0,0.0,100.0,0.0,2017-01-29 16:31:51
Onmysheet kjo,US,Mike skillings,0.0,0.0,100.0,0.0,2017-01-29 16:31:33
Is the \xa31.99 locker delivery included with the standard delivery?,US,Secret Guy,0.0,0.0,100.0,0.0,2016-12-01 12:56:11
Same :(,DE,Andr\xe9s Maya,-0.4404,74.4,25.6,0.0,2016-10-21 01:28:35
Couldn't underage people just use this to order stuff,SE,EDM Unity,0.0,0.0,100.0,0.0,2016-09-28 15:06:50
EDM Unity maybe there should be a thing where you have to scan your ID to buy things like that idk.,GB,\u05e7\u05de\u05e8\u05d5\u05dfSnipethemapples\u05e7\u05de\u05e8\u05d5\u05df,0.2732,6.4,82.19999999999997,11.4,2018-06-03 19:00:35
yah i used it to order a vibrator lol,MX,jay johnson,0.4215,0.0,68.2,31.8,2017-09-11 01:28:17
JuugMoney the delivery guy won't even know what's in the box,MX,Rico G,0.0,0.0,100.0,0.0,2017-03-28 12:36:40
"JuugMoney When I bought my box mod the delivery guy asked for some ID, i think it just depends on the delivery company because you get into some real nifty laws about giving nicotine products to kids",DK,Ahoyhoy,0.6249,0.0,86.6,13.4,2016-10-27 10:26:17
NightcoreUnity Im pretty sure the delivery guy wont be able to tell your age,MX,JuugMoney,0.6705,0.0,68.60000000000001,31.4,2016-10-25 00:25:22
i mean if someone wanted to buy something like an e cig or somthing,SE,EDM Unity,0.3612,0.0,81.5,18.5,2016-10-24 22:04:01
NightcoreUnity You dont have to be 18 to buy on amazon Lol,MX,JuugMoney,0.5423,0.0,69.0,31.0,2016-10-24 02:02:09
"Same! I'm in the middle of moving, and I don't want the package ending up at my old place, so I decided to try using a locker for the first time ever. Hopefully the US version is as easy as the UK one. (I should find out tomorrow or the next day.)",MX,Thistlechaser,0.6878,2.3,86.6,11.1,2016-09-22 04:06:31
thank you for the info.  i hope there are lockers in our country.,DK,VeNuS2910,0.6597,0.0,64.9,35.099999999999994,2016-08-07 16:11:23
"Hi Mat,\nWhy were you using an iPhone 3GS or 4 in this video?",MX,NMC Productions,0.0,0.0,100.0,0.0,2016-08-02 00:46:03
What a bitch...all she needs is a code.\n\n\n\n\n\n\n\n\n:p,US,MegaZsolti,0.0,0.0,100.0,0.0,2016-06-30 15:59:31
Much better idea than the drone delivery system...,MX,Kentucky Ranger,0.4404,0.0,70.7,29.3,2016-06-29 05:15:34
Thanks for the helpful vid,GB,Zach Shult,0.6908,0.0,34.5,65.5,2016-06-08 21:43:12
What is the font on the intro.,DE,Peter Folchi,0.0,0.0,100.0,0.0,2016-05-20 17:40:54
Wigan?  That's where Wallace & Gromit live! :D,GB,Alp Tigin,0.6514,0.0,58.1,41.9,2016-05-14 01:51:20
